<매칭 테이블>
oracle table	impala table	매칭기호
smicdc_nrd.mc_lot	MOS_KH_SMI.SMICDC_NRD_MC_LOT	a
smicdc_p3nrd.mc_lot	MOS_KH_SMI.SMICDC_P3NRD_MC_LOT	b
smicdc_nrdk.mc_lot	MOS_KH_SMI.SMICDC_NRDK_MC_LOT	c
MI_LOT_TRANSN_HIST_V	FAB.M_LOT_TRANSN_HIST	d
SMICDC_NRD.TODOPLAN	MOS_KH_SMI.SMICDC_NRD_TODOPLAN	e
smicdc_nrd.stepcomments	MOS_KH_SMI.SMICDC_NRD_STEPCOMMENTS	f
SMICDC_P3NRD.MC_LOT_STEP_COMMENT 	MOS_KH_SMI.SMICDC_P3NRD_MC_LOT_STEP_COMMENT	g
SMICDC_NRDK.MC_LOT_STEP_COMMENT 	MOS_KH_SMI.SMICDC_NRDK_MC_LOT_STEP_COMMENT	h
smicdc_nrd.steprule	MOS_KH_SMI.SMICDC_NRD_STEPRULE	i



<impala 테이블 컬럼>매칭기호	컬럼명	datatype	pk
b	ein_ecn_no	STRING	
b	not_zero_yn	STRING	
b	multi_delay_date	STRING	
b	alps_level	STRING	
b	batch_id	STRING	
b	carr_id	STRING	
b	dcol_mode	STRING	
b	hot_lot_level	STRING	
b	hj_lot_level	STRING	
b	ingot_id	STRING	
b	next_step_seq	STRING	
b	batch_zone_no	DOUBLE	
b	reticle_id	STRING	
b	rework_main_step_seq	STRING	
b	sample_slot_list	STRING	
b	start_lot_id	STRING	
b	last_lot_id	STRING	
b	hold_date	STRING	
b	origin_proc_id	STRING	
b	origin_step_seq	STRING	
b	send_event_date	STRING	
b	eqp_split_group_name	STRING	
b	ein_split_group_name	STRING	
b	bob_yn	STRING	
b	recln_cnt	DOUBLE	
b	area_name	STRING	
b	prev_duv_eqp_id	STRING	
b	prev_duv_step_seq	STRING	
b	step_arrive_date	STRING	
b	bay_name	STRING	
b	abnrml_type	STRING	
b	ncf_code	STRING	
b	ef_start_dttm	STRING	
b	proc_ver	STRING	
b	ewr_path_object_id	STRING	
b	sys_line_id	STRING	
b	bstskipstep	STRING	
b	order_seq	DOUBLE	
b	lot_level	DOUBLE	
d	lot_transn_type	STRING	
d	lot_transn_time	STRING	
d	last_transn_sys_id	STRING	
d	lot_sys_id	STRING	
d	lot_type	STRING	
d	step_seq	STRING	
d	wip_attribute	STRING	
d	step_id	STRING	
d	delay_time	BIGINT	
d	new_attr_value	STRING	
d	delay_restrc_time	BIGINT	
d	origin_attr_value	STRING	
d	rework_yn	STRING	
d	comment_code	STRING	
d	process_finish_date	TIMESTAMP	
d	component_qty	BIGINT	
d	tkin_date	TIMESTAMP	
d	brief_desc	STRING	
d	dcol_date	TIMESTAMP	
d	recent_tkout_time	STRING	
d	process_start_date	TIMESTAMP	
d	current_line_id	STRING	
d	virtual_line_id	STRING	
d	room_name	STRING	
d	tkin_opertr_id	STRING	
d	layer_id	STRING	
d	etc_opertr_id	STRING	
d	ppid	STRING	
d	origin_line_id	STRING	
d	area_name	STRING	
d	bay_name	STRING	
d	tkin_batch_id	STRING	
d	lot_transn_seq	BIGINT	
d	lot_process_prity	BIGINT	
d	process_eqp_id	STRING	
d	lot_transn_desc	STRING	
d	lot_transn_comment	STRING	
d	chamber_id	STRING	
d	port_load_date	TIMESTAMP	
d	port_unload_date	TIMESTAMP	
d	to_step_seq	STRING	
d	reticle_id	STRING	
d	lot_id	STRING	
d	last_update_date	TIMESTAMP	
d	wip_transn_parent_sys_id	STRING	
d	process_id	STRING	
d	start_compnt_qty	BIGINT	
d	lot_start_time	STRING	
d	vendor_id	STRING	
d	step_desc	STRING	
d	eqp_type	STRING	
d	product_id	STRING	
d	detail_desc	STRING	
d	lot_hold_reason	STRING	
d	split_lot_qty	BIGINT	
d	child_lot_id	STRING	
d	real_component_qty	BIGINT	
d	event_wafer_qty	BIGINT	
d	dest_line_id	STRING	
d	from_step_seq	STRING	
d	to_process_unit	STRING	
d	process_unit_chg_yn	STRING	
d	from_process_id	STRING	
d	from_product_id	STRING	
d	from_lot_type	STRING	
d	new_lot_id	STRING	
d	loss_reason_eqp_id	STRING	
d	loss_component_id_list	STRING	
d	code_id	STRING	
d	lot_attr_sum	STRING	
d	component_id	STRING	
d	chip_qty	BIGINT	
d	real_chip_qty	BIGINT	
d	event_chip_qty	BIGINT	
d	from_process_unit	STRING	
d	map_mark	STRING	
d	lot_status_seg	STRING	
d	fullauto_flag	STRING	
d	npw_carrier_id	STRING	
d	rework_main_step	STRING	
d	lot_attr_ingot_id	STRING	
d	reserve_time	STRING	
d	batch_lot_order	STRING	
d	eil_transn_yn	STRING	
d	eil_module_id	STRING	
d	eil_proc_type	STRING	
d	eil_proc_eqp_vals	STRING	
d	peg_cs_type	STRING	
d	peg_wo_type_list	STRING	
d	peg_purps_type	STRING	
d	slot_id	STRING	
d	sys_line_id	STRING	
