<매칭 테이블>
oracle table	impala table	oracletable매칭기호	impalatable매칭기호
d	step_seq	STRING
d	tkin_type	STRING
d	tkin_type_detail	STRING
d	group_no	DOUBLE
d	status_desc	STRING
d	step_level	DOUBLE
d	step_skip_yn	STRING
d	sample_step_type	STRING
d	sample_1st_step_yn	STRING
d	step_id	STRING
d	step_desc	STRING
d	recipe_id	STRING
d	used_recipe_id	STRING
d	slot_list	STRING
d	metal_status	STRING
d	delay_step_type	STRING
d	delay_time_mins	DOUBLE
d	n2_delay_time_mins	DOUBLE
d	dcol_spec_id	STRING
d	dcol_mode	STRING
d	reticle_id	STRING
d	rule_no	STRING
d	eqp_type	STRING
d	eqp_group_id	STRING
d	eqp_model_id	STRING
d	reposn_step_seq	STRING
d	rtn_step_seq	STRING
d	lot_transn_seq	DOUBLE
d	root_step_seq	STRING
d	extra_info	STRING
d	insert_date	TIMESTAMP
d	user_comment	STRING
d	layer_id	STRING
d	ext_1st_vals	STRING
d	ext_2nd_vals	STRING
d	ext_3rd_vals	STRING
d	ext_4th_vals	STRING
d	ext_5th_vals	STRING
d	pre_type	STRING
d	pre_meascount	DOUBLE
d	pre_comment	STRING
d	variablebatch	STRING
d	photototalcount	DOUBLE
d	phototkincount	DOUBLE
d	min_expt	STRING
d	max_expt	STRING
d	cdsetcount	STRING
d	cdtkincount	STRING
d	samplegroup	STRING
d	samplepriority	STRING
d	fa_function1	STRING
d	fa_function2	STRING
d	fa_function3	STRING
d	fa_function4	STRING
d	fa_function5	STRING
d	fa_function6	STRING
d	fa_function7	STRING
d	fa_function8	STRING
d	fa_function9	STRING
d	rsc_code	STRING
d	rsc_check_cycle_time	STRING
d	base_expose_time	STRING
d	base_focus_value	STRING
d	min_focus_value	STRING
d	max_focus_value	STRING
d	eil_ppid_group_name	STRING
d	eil_eqp_group_vals	STRING
e	object_id	STRING
e	lot_id	STRING
e	lot_status_seg	STRING
e	step_status_seg	STRING
e	last_eqp_id	STRING
e	prod_id	STRING
e	last_event_date	STRING
e	proc_id	STRING
e	last_step_seq	STRING
e	last_tkout_date	STRING
e	cur_qty	DOUBLE
e	start_qty	DOUBLE
e	total_chip_qty	DOUBLE
e	lot_type	STRING
e	start_date	STRING
e	due_date	STRING
e	prirt_no	DOUBLE
e	rework_yn	STRING
e	last_ppid	STRING
e	vendor_id	STRING
e	last_event_id	STRING
e	logical_split_type	STRING
e	origin_line_id	STRING
e	cur_line_id	STRING
e	split_start_step_seq	STRING
e	split_end_step_seq	STRING
e	last_tkin_event_id	STRING
e	comp_mode_yn	STRING
e	step_seq	STRING
e	last_tkin_date	STRING
e	proc_start_date	STRING
e	proc_end_date	STRING
e	last_tkin_user_id	STRING
e	main_tkout_date	STRING
e	duv_eqp_id	STRING
e	duv_step_seq	STRING
e	ein_ecn_no	STRING
e	not_zero_yn	STRING
e	multi_delay_date	STRING
e	alps_level	STRING
e	batch_id	STRING
e	carr_id	STRING
e	dcol_mode	STRING
e	hot_lot_level	STRING
e	hj_lot_level	STRING
e	ingot_id	STRING
e	next_step_seq	STRING
e	batch_zone_no	DOUBLE
e	reticle_id	STRING
e	rework_main_step_seq	STRING
e	sample_slot_list	STRING
e	start_lot_id	STRING
e	last_lot_id	STRING
e	hold_date	STRING
e	origin_proc_id	STRING
e	origin_step_seq	STRING
e	send_event_date	STRING
e	eqp_split_group_name	STRING
e	ein_split_group_name	STRING
e	bob_yn	STRING
e	recln_cnt	DOUBLE
e	area_name	STRING
e	prev_duv_eqp_id	STRING
e	prev_duv_step_seq	STRING
e	step_arrive_date	STRING
e	bay_name	STRING
e	abnrml_type	STRING
e	ncf_code	STRING
e	ef_start_dttm	STRING
e	proc_ver	STRING
e	ewr_path_object_id	STRING
e	sys_line_id	STRING
e	bstskipstep	STRING
e	order_seq	DOUBLE
e	lot_level	DOUBLE
f	object_id	STRING
f	lot_id	STRING
f	order_seq	DOUBLE
f	proc_id	STRING
f	step_seq	STRING
f	tkin_type	STRING
f	tkin_type_detail	STRING
f	group_no	DOUBLE
f	status_desc	STRING
f	step_level	DOUBLE
f	step_skip_yn	STRING
f	sample_step_type	STRING
f	sample_1st_step_yn	STRING
f	step_id	STRING
f	step_desc	STRING
f	recipe_id	STRING
f	used_recipe_id	STRING
f	slot_list	STRING
f	metal_status	STRING
f	delay_step_type	STRING
f	delay_time_mins	DOUBLE
f	n2_delay_time_mins	DOUBLE
f	dcol_spec_id	STRING
f	dcol_mode	STRING
f	reticle_id	STRING
f	rule_no	STRING
f	eqp_type	STRING
f	eqp_group_id	STRING
f	eqp_model_id	STRING
f	reposn_step_seq	STRING
f	rtn_step_seq	STRING
f	lot_transn_seq	DOUBLE
f	root_step_seq	STRING
f	extra_info	STRING
f	insert_date	TIMESTAMP
f	user_comment	STRING
f	layer_id	STRING
f	ext_1st_vals	STRING
f	ext_2nd_vals	STRING
f	ext_3rd_vals	STRING
f	ext_4th_vals	STRING
f	ext_5th_vals	STRING
g	object_id	STRING
g	lot_id	STRING
g	lot_status_seg	STRING
g	step_status_seg	STRING
g	last_eqp_id	STRING
g	prod_id	STRING
g	last_event_date	STRING
g	proc_id	STRING
g	last_step_seq	STRING
g	last_tkout_date	STRING
g	cur_qty	DOUBLE
g	start_qty	DOUBLE
g	total_chip_qty	DOUBLE
g	lot_type	STRING
g	start_date	STRING
g	due_date	STRING
g	prirt_no	DOUBLE
g	rework_yn	STRING
g	last_ppid	STRING
g	vendor_id	STRING
g	last_event_id	STRING
g	logical_split_type	STRING
g	origin_line_id	STRING
g	cur_line_id	STRING
g	split_start_step_seq	STRING
g	split_end_step_seq	STRING
g	last_tkin_event_id	STRING
g	comp_mode_yn	STRING
g	step_seq	STRING
g	last_tkin_date	STRING
g	proc_start_date	STRING
g	proc_end_date	STRING
g	last_tkin_user_id	STRING
g	main_tkout_date	STRING
g	duv_eqp_id	STRING
g	duv_step_seq	STRING
g	ein_ecn_no	STRING
g	not_zero_yn	STRING
g	multi_delay_date	STRING
g	alps_level	STRING
g	batch_id	STRING
g	carr_id	STRING
g	dcol_mode	STRING
g	hot_lot_level	STRING
g	hj_lot_level	STRING
g	ingot_id	STRING
g	next_step_seq	STRING
g	batch_zone_no	DOUBLE
g	reticle_id	STRING
g	rework_main_step_seq	STRING
g	sample_slot_list	STRING
g	start_lot_id	STRING
g	last_lot_id	STRING
g	hold_date	STRING
g	origin_proc_id	STRING
g	origin_step_seq	STRING
g	send_event_date	STRING
g	eqp_split_group_name	STRING
g	ein_split_group_name	STRING
g	bob_yn	STRING
g	recln_cnt	DOUBLE
g	area_name	STRING
